437	20.9694
398	20.1469
442	18.2368
401	20.1625
444	15.3512
422	20.2967
430	20.3140
396	20.2683
424	20.1228
436	20.1825
380	22.8692
428	20.2867
418	20.3307
406	19.8918
423	20.7537
436	18.3755
396	20.0033
390	22.6668
434	15.3636
439	18.5019
424	20.3931
432	20.5153
410	18.0802
460	17.9614
419	20.4341
413	20.9660
455	20.6963
424	22.7953
401	20.1300
411	20.3918
445	20.3696
431	20.2169
422	20.2557
407	20.1244
412	20.5499
413	19.9828
403	17.9423
416	22.5076
419	20.1890
356	29.5054
427	22.4454
437	15.2020
431	22.5168
446	20.2634
421	22.7729
424	22.4933
408	20.3283
451	20.6506
484	20.1239
431	22.9199
363	20.0752
381	24.9313
394	22.6161
372	20.0625
428	22.7799
389	24.9383
396	25.5212
426	22.7015
440	20.3389
404	22.6199
419	20.4527
451	15.8168
450	20.2988
421	17.7975
410	25.3393
417	20.4387
386	24.9200
419	22.7648
358	22.1544
411	22.5885
419	25.2848
397	22.5421
456	15.4180
426	15.2373
425	20.0255
418	22.6729
421	19.9350
415	22.6121
403	22.6560
398	22.9728
421	17.7298
413	22.2744
401	17.8565
425	22.9123
449	22.2859
460	15.4403
414	17.6409
389	22.4562
437	20.0606
404	24.8377
407	20.3906
397	19.7790
388	25.2502
403	20.1085
437	15.4620
411	17.8011
387	22.1659
453	20.2374
413	20.5772
425	17.9780
131	22.7654
